game_id,home,away,date,home_pts,away_pts,min,home_fgm,home_fga,home_fg_pct,home_fg3m,home_fg3a,home_fg3_pct,home_ftm,home_fta,home_ft_pct,home_oreb,home_dreb,home_reb,home_ast,home_stl,home_blk,home_tov,home_pf,home_plus_minus,away_fgm,away_fga,away_fg_pct,away_fg3m,away_fg3a,away_fg3_pct,away_ftm,away_fta,away_ft_pct,away_oreb,away_dreb,away_reb,away_ast,away_stl,away_blk,away_tov,away_pf,away_plus_minus,bubble,sample,season
21900001,TOR,NOP,2019-10-22,130,122,265,42,103,0.408,14,40,0.35,32,38,0.842,16,41,57,23,7,3,16,24,8.0,43,102,0.422,19,45,0.422,17,20,0.85,16,37,53,30,4,9,19,34,-8.0,False,False,2019-20
21900002,LAC,LAL,2019-10-22,112,102,239,42,81,0.519,11,31,0.355,17,24,0.708,11,34,45,24,8,5,14,25,10.0,37,85,0.435,13,33,0.394,15,21,0.714,9,32,41,20,4,7,14,24,-10.0,False,True,2019-20
21900003,CHA,CHI,2019-10-23,126,125,240,45,88,0.511,23,44,0.523,13,16,0.813,9,32,41,28,3,4,19,18,1.0,49,105,0.467,9,30,0.3,18,22,0.818,20,29,49,25,11,4,10,20,-1.0,False,False,2019-20
21900004,IND,DET,2019-10-23,110,119,241,41,89,0.461,8,21,0.381,20,24,0.833,10,26,36,26,8,6,15,28,-9.0,41,78,0.526,11,24,0.458,26,33,0.788,10,35,45,26,5,6,18,21,9.0,False,False,2019-20
21900005,ORL,CLE,2019-10-23,94,85,239,37,86,0.43,9,30,0.3,11,19,0.579,7,39,46,24,12,4,13,18,9.0,33,88,0.375,9,34,0.265,10,15,0.667,10,44,54,20,8,2,16,15,-9.0,False,False,2019-20
21900006,BKN,MIN,2019-10-23,126,127,264,48,101,0.475,15,34,0.441,15,26,0.577,10,38,48,19,8,9,16,30,-1.0,46,108,0.426,13,43,0.302,22,28,0.786,12,40,52,23,9,4,13,22,1.0,False,False,2019-20
21900007,MIA,MEM,2019-10-23,120,101,240,40,85,0.471,7,18,0.389,33,39,0.846,11,40,51,18,9,8,21,33,19.0,38,89,0.427,5,32,0.156,20,30,0.667,9,31,40,22,9,7,24,31,-19.0,False,False,2019-20
21900008,PHI,BOS,2019-10-23,107,93,240,37,85,0.435,7,29,0.241,26,36,0.722,12,50,62,24,6,7,15,34,14.0,33,90,0.367,7,26,0.269,20,34,0.588,10,31,41,18,4,2,10,29,-14.0,False,True,2019-20
21900009,DAL,WAS,2019-10-23,108,100,241,35,76,0.461,11,36,0.306,27,33,0.818,5,41,46,17,6,5,19,22,8.0,37,93,0.398,11,41,0.268,15,18,0.833,11,36,47,26,6,3,17,32,-8.0,False,False,2019-20
21900010,SAS,NYK,2019-10-23,120,111,240,42,83,0.506,7,21,0.333,29,36,0.806,10,41,51,22,6,5,21,18,9.0,44,94,0.468,10,30,0.333,13,18,0.722,5,34,39,24,16,1,14,32,-9.0,False,False,2019-20
21900011,UTA,OKC,2019-10-23,100,95,241,40,90,0.444,6,24,0.25,14,20,0.7,11,38,49,15,4,5,11,31,5.0,32,83,0.386,10,27,0.37,21,31,0.677,7,41,48,15,5,4,13,23,-5.0,False,False,2019-20
21900012,PHX,SAC,2019-10-23,124,95,239,49,98,0.5,11,33,0.333,15,18,0.833,9,35,44,31,13,9,14,25,29.0,34,87,0.391,10,29,0.345,17,26,0.654,12,35,47,17,5,5,26,24,-29.0,False,False,2019-20
21900013,POR,DEN,2019-10-23,100,108,239,36,87,0.414,7,28,0.25,21,23,0.913,13,35,48,13,9,4,20,25,-8.0,34,81,0.42,18,32,0.563,22,27,0.815,11,34,45,24,11,4,19,23,8.0,False,False,2019-20
21900014,DET,ATL,2019-10-24,100,117,240,35,85,0.412,10,37,0.27,20,22,0.909,9,30,39,20,6,5,13,20,-17.0,44,86,0.512,11,31,0.355,18,21,0.857,8,34,42,27,9,2,13,15,17.0,False,False,2019-20
21900015,HOU,MIL,2019-10-24,111,117,240,33,90,0.367,16,48,0.333,29,39,0.744,10,47,57,25,6,6,14,25,-6.0,46,99,0.465,16,46,0.348,9,18,0.5,6,47,53,31,7,10,11,27,6.0,False,False,2019-20
21900016,GSW,LAC,2019-10-24,122,141,239,39,99,0.394,15,42,0.357,29,30,0.967,15,27,42,27,7,0,13,21,-19.0,50,80,0.625,18,32,0.563,23,30,0.767,3,36,39,33,7,5,17,24,19.0,False,False,2019-20
21900017,BOS,TOR,2019-10-25,112,106,241,42,109,0.385,13,38,0.342,15,16,0.938,21,35,56,21,10,8,9,20,6.0,37,78,0.474,18,36,0.5,14,17,0.824,5,41,46,22,2,6,23,28,-6.0,False,False,2019-20
21900018,CHA,MIN,2019-10-25,99,121,241,37,84,0.44,12,29,0.414,13,26,0.5,9,33,42,26,6,5,19,29,-22.0,43,91,0.473,12,38,0.316,23,31,0.742,13,39,52,30,11,6,15,21,22.0,False,False,2019-20
21900019,BKN,NYK,2019-10-25,113,109,239,37,78,0.474,16,37,0.432,23,34,0.676,11,35,46,21,11,2,26,26,4.0,38,81,0.469,17,25,0.68,16,28,0.571,9,30,39,17,14,4,26,31,-4.0,False,False,2019-20
21900020,MEM,CHI,2019-10-25,102,110,239,39,94,0.415,10,29,0.345,14,20,0.7,15,41,56,24,8,6,18,21,-8.0,40,93,0.43,12,42,0.286,18,24,0.75,9,36,45,18,14,7,13,21,8.0,False,False,2019-20
21900021,NOP,DAL,2019-10-25,116,123,239,45,98,0.459,15,41,0.366,11,15,0.733,12,36,48,30,6,3,14,22,-7.0,45,93,0.484,14,40,0.35,19,26,0.731,12,37,49,23,8,7,11,19,7.0,False,False,2019-20
