id,full_name,first_name,last_name,is_active
76001,Alaa Abdelnaby,Alaa,Abdelnaby,False
76002,Zaid Abdul-Aziz,Zaid,Abdul-Aziz,False
76003,Kareem Abdul-Jabbar,Kareem,Abdul-Jabbar,False
51,Mahmoud Abdul-Rauf,Mahmoud,Abdul-Rauf,False
1505,Tariq Abdul-Wahad,Tariq,Abdul-Wahad,False
949,Shareef Abdur-Rahim,Shareef,Abdur-Rahim,False
76005,Tom Abernethy,Tom,Abernethy,False
76006,Forest Able,Forest,Able,False
76007,John Abramovic,John,Abramovic,False
203518,Alex Abrines,Alex,Abrines,False
1630173,Precious Achiuwa,Precious,Achiuwa,True
101165,Alex Acker,Alex,Acker,False
76008,Donald Ackerman,Donald,Ackerman,False
76009,Mark Acres,Mark,Acres,False
76010,Charles Acton,Charles,Acton,False
203112,Quincy Acy,Quincy,Acy,False
76011,Alvan Adams,Alvan,Adams,False
76012,Don Adams,Don,Adams,False
200801,Hassan Adams,Hassan,Adams,False
1629121,Jaylen Adams,Jaylen,Adams,False
203919,Jordan Adams,Jordan,Adams,False
149,Michael Adams,Michael,Adams,False
203500,Steven Adams,Steven,Adams,True
912,Rafael Addison,Rafael,Addison,False
1628389,Bam Adebayo,Bam,Adebayo,True
1629061,Deng Adel,Deng,Adel,False
76015,Rick Adelman,Rick,Adelman,False
202399,Jeff Adrien,Jeff,Adrien,False
201167,Arron Afflalo,Arron,Afflalo,False
200772,Maurice Ager,Maurice,Ager,False
76016,Mark Aguirre,Mark,Aguirre,False
201336,Blake Ahearn,Blake,Ahearn,False
76017,Danny Ainge,Danny,Ainge,False
201582,Alexis Ajinca,Alexis,Ajinca,False
76018,Henry Akin,Henry,Akin,False
203006,Josh Akognon,Josh,Akognon,False
1629152,DeVaughn Akoon-Purcell,DeVaughn,Akoon-Purcell,False
202374,Solomon Alabi,Solomon,Alabi,False
76019,Mark Alarie,Mark,Alarie,False
76020,Gary Alcorn,Gary,Alcorn,False
1630583,Santi Aldama,Santi,Aldama,True
203128,Furkan Aldemir,Furkan,Aldemir,False
202332,Cole Aldrich,Cole,Aldrich,False
200746,LaMarcus Aldridge,LaMarcus,Aldridge,True
76021,Chuck Aleksinas,Chuck,Aleksinas,False
1626146,Cliff Alexander,Cliff,Alexander,False
724,Cory Alexander,Cory,Alexander,False
