name,fgm,fga,fg_pct,pts,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,min,season,player_id,pos,team,date,game_id,plus_minus,dd2,start
L. James,7,19,0.368,18,1,5,0.2,3,4,0.75,1,9,10,8,5,1,1,2,3,6,36.0,2019-20,2544,Forward,LAL,20191022,21900002,-8,1,True
D. Howard,1,3,0.333,3,0,0,0.0,1,1,1.0,3,3,6,1,0,0,1,2,4,3,19.03333333333333,2019-20,2730,Center,LAL,20191022,21900002,-1,0,False
L. Williams,8,14,0.571,21,1,4,0.25,4,4,1.0,1,4,5,7,2,1,0,1,0,9,36.72166666666666,2019-20,101150,Guard,LAC,20191022,21900002,13,0,False
J. Dudley,2,2,1.0,6,2,2,1.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,13.35,2019-20,201162,Forward,LAL,20191022,21900002,-20,0,False
J. McGee,2,3,0.667,4,0,0,0.0,0,0,0.0,1,1,2,0,1,0,2,0,0,0,17.346666666666668,2019-20,201580,Center,LAL,20191022,21900002,0,0,True
P. Beverley,1,7,0.143,2,0,5,0.0,0,0,0.0,2,8,10,6,2,0,1,1,4,2,31.35333333333333,2019-20,201976,Guard,LAC,20191022,21900002,13,0,True
D. Green,10,14,0.714,28,7,9,0.778,1,1,1.0,1,6,7,0,0,2,1,0,3,4,32.321666666666665,2019-20,201980,Guard,LAL,20191022,21900002,7,0,True
P. Patterson,1,3,0.333,4,1,3,0.333,1,2,0.5,1,2,3,0,0,0,0,0,2,2,17.483333333333334,2019-20,202335,Forward,LAC,20191022,21900002,-2,0,True
A. Bradley,3,7,0.429,8,2,5,0.4,0,0,0.0,0,3,3,0,2,0,0,0,3,0,24.03333333333333,2019-20,202340,Guard,LAL,20191022,21900002,-1,0,True
K. Leonard,10,19,0.526,30,1,5,0.2,9,10,0.9,1,5,6,5,6,2,1,1,5,5,31.551666666666662,2019-20,202695,Forward,LAC,20191022,21900002,5,0,True
A. Davis,8,21,0.381,25,0,2,0.0,9,14,0.643,3,6,9,5,3,1,2,1,3,10,37.35333333333333,2019-20,203076,Forward,LAL,20191022,21900002,3,0,True
M. Harkless,4,7,0.571,10,2,3,0.667,0,0,0.0,2,2,4,0,0,4,2,1,5,0,29.166666666666668,2019-20,203090,Forward,LAC,20191022,21900002,7,0,False
J. Green,4,8,0.5,12,4,7,0.571,0,0,0.0,1,5,6,0,1,0,0,0,3,0,19.27833333333333,2019-20,203210,Forward,LAC,20191022,21900002,5,0,False
K. Caldwell-Pope,0,3,0.0,0,0,2,0.0,0,0,0.0,0,3,3,3,1,0,0,0,5,1,27.395,2019-20,203484,Guard,LAL,20191022,21900002,-8,0,False
T. Daniels,2,6,0.333,6,1,5,0.2,1,1,1.0,0,0,0,1,1,0,0,0,1,1,16.233333333333334,2019-20,203584,Guard,LAL,20191022,21900002,-13,0,False
M. Harrell,7,11,0.636,17,0,0,0.0,3,8,0.375,2,5,7,4,3,1,1,2,3,5,38.36,2019-20,1626149,Forward,LAC,20191022,21900002,15,0,False
Q. Cook,2,7,0.286,4,0,3,0.0,0,0,0.0,0,1,1,2,1,0,0,0,0,0,16.933333333333334,2019-20,1626188,Guard,LAL,20191022,21900002,-9,0,False
I. Zubac,4,4,1.0,8,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2,0,9.64,2019-20,1627826,Center,LAC,20191022,21900002,-5,0,True
L. Shamet,3,8,0.375,8,2,4,0.5,0,0,0.0,0,3,3,2,0,0,0,1,1,1,26.445,2019-20,1629013,Guard,LAC,20191022,21900002,-1,0,True
A. Horford,5,13,0.385,16,1,6,0.167,5,6,0.833,1,1,2,3,1,1,0,0,5,4,31.183333333333334,2019-20,201143,Center,PHI,20191023,21900008,6,0,True
G. Hayward,8,15,0.533,25,0,0,0.0,9,11,0.818,0,5,5,2,1,0,0,2,4,6,35.18333333333333,2019-20,202330,Forward,BOS,20191023,21900008,-11,0,True
E. Kanter,5,8,0.625,12,0,1,0.0,2,7,0.286,3,3,6,2,0,0,0,2,3,5,24.966666666666665,2019-20,202683,Center,BOS,20191023,21900008,-12,0,True
K. Walker,4,18,0.222,12,1,6,0.167,3,4,0.75,2,0,2,2,3,0,0,2,4,5,34.25,2019-20,202689,Guard,BOS,20191023,21900008,-16,0,True
T. Harris,6,11,0.545,15,2,5,0.4,1,2,0.5,1,14,15,4,4,2,0,1,3,2,37.61666666666667,2019-20,202699,Forward,PHI,20191023,21900008,16,1,True
B. Wanamaker,0,2,0.0,0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,5.5,2019-20,202954,Guard,BOS,20191023,21900008,0,0,False
M. Scott,2,7,0.286,6,0,3,0.0,2,2,1.0,1,5,6,1,0,0,0,0,2,1,16.283333333333335,2019-20,203118,Forward,PHI,20191023,21900008,3,0,False
K. O'Quinn,2,2,1.0,5,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,0,0,1,3.716666666666667,2019-20,203124,Center,PHI,20191023,21900008,-2,0,False
J. Ennis III,0,3,0.0,3,0,2,0.0,3,4,0.75,1,5,6,0,3,0,0,0,5,2,16.95,2019-20,203516,Forward,PHI,20191023,21900008,-12,0,False
R. Neto,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1.1,2019-20,203526,Guard,PHI,20191023,21900008,-1,0,False
M. Smart,2,7,0.286,4,0,4,0.0,0,0,0.0,1,3,4,8,1,0,0,0,4,7,33.016666666666666,2019-20,203935,Guard,BOS,20191023,21900008,-13,0,False
J. Embiid,5,14,0.357,15,1,4,0.25,4,8,0.5,4,9,13,3,0,0,3,0,5,7,23.25,2019-20,203954,Center,PHI,20191023,21900008,16,1,True
J. Richardson,4,12,0.333,17,0,4,0.0,9,9,1.0,2,4,6,2,2,1,2,0,4,7,33.1,2019-20,1626196,Guard,PHI,20191023,21900008,22,0,True
B. Simmons,11,16,0.688,24,0,0,0.0,2,5,0.4,2,6,8,9,4,0,0,1,4,4,34.983333333333334,2019-20,1627732,Guard,PHI,20191023,21900008,15,0,True
J. Brown,3,6,0.5,8,1,2,0.5,1,3,0.333,0,7,7,0,1,1,0,1,5,2,20.866666666666667,2019-20,1627759,Guard,BOS,20191023,21900008,-12,0,True
F. Korkmaz,1,2,0.5,3,1,1,1.0,0,0,0.0,0,4,4,0,0,0,0,0,1,1,19.03333333333333,2019-20,1627788,Guard,PHI,20191023,21900008,3,0,False
J. Tatum,8,22,0.364,21,4,8,0.5,1,3,0.333,1,9,10,2,4,2,0,0,2,4,37.21666666666667,2019-20,1628369,Forward,BOS,20191023,21900008,-4,1,True
S. Ojeleye,0,1,0.0,0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,1,9.75,2019-20,1628400,Forward,BOS,20191023,21900008,-1,0,False
D. Theis,0,1,0.0,3,0,1,0.0,3,4,0.75,1,0,1,0,0,0,1,0,1,3,9.866666666666667,2019-20,1628464,Forward,BOS,20191023,21900008,-7,0,False
S. Milton,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1.1,2019-20,1629003,Guard,PHI,20191023,21900008,-1,0,False
C. Edwards,1,5,0.2,3,1,3,0.333,0,0,0.0,1,0,1,0,0,0,0,0,0,0,11.416666666666666,2019-20,1629035,Guard,BOS,20191023,21900008,-1,0,False
R. Williams III,2,4,0.5,5,0,0,0.0,1,2,0.5,1,2,3,1,0,1,1,0,4,1,10.766666666666667,2019-20,1629057,Center,BOS,20191023,21900008,7,0,False
M. Thybulle,1,5,0.2,3,1,3,0.333,0,0,0.0,0,1,1,1,1,2,2,0,5,0,21.683333333333334,2019-20,1629680,Guard,PHI,20191023,21900008,5,0,False
G. Williams,0,1,0.0,0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2,0,7.2,2019-20,1629684,Forward,BOS,20191023,21900008,0,0,False
L. James,8,15,0.533,23,2,5,0.4,5,7,0.714,0,2,2,8,6,0,1,1,0,5,28.316666666666663,2019-20,2544,Forward,LAL,20191029,21900054,2,0,True
D. Howard,1,2,0.5,2,0,0,0.0,0,0,0.0,1,4,5,2,1,1,2,1,5,1,18.75,2019-20,2730,Center,LAL,20191029,21900054,22,0,False
J. Dudley,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,1,0,1,0,0,1,0,6.8,2019-20,201162,Forward,LAL,20191029,21900054,9,0,False
J. McGee,5,7,0.714,10,0,0,0.0,0,1,0.0,1,8,9,1,2,0,1,0,3,2,29.25,2019-20,201580,Center,LAL,20191029,21900054,7,0,True
D. Green,3,6,0.5,8,2,5,0.4,0,0,0.0,0,0,0,1,1,1,0,0,3,0,19.416666666666668,2019-20,201980,Guard,LAL,20191029,21900054,3,0,True
A. Bradley,5,9,0.556,12,1,1,1.0,1,3,0.333,0,3,3,1,2,2,0,0,2,2,23.5,2019-20,202340,Guard,LAL,20191029,21900054,11,0,True
J. Valanciunas,5,10,0.5,14,0,2,0.0,4,4,1.0,3,8,11,2,2,0,0,0,3,2,22.766666666666666,2019-20,202685,Center,MEM,20191029,21900054,-2,1,True
A. Davis,7,17,0.412,40,0,2,0.0,26,27,0.963,8,12,20,2,0,0,2,0,2,15,30.566666666666663,2019-20,203076,Forward,LAL,20191029,21900054,19,1,True
J. Crowder,3,8,0.375,9,1,6,0.167,2,3,0.667,1,4,5,1,3,0,0,0,2,3,27.0,2019-20,203109,Forward,MEM,20191029,21900054,-11,0,True
K. Caldwell-Pope,6,11,0.545,13,0,1,0.0,1,1,1.0,0,6,6,3,1,0,1,0,3,1,28.58333333333333,2019-20,203484,Guard,LAL,20191029,21900054,26,0,False
S. Hill,2,6,0.333,8,2,4,0.5,2,2,1.0,2,2,4,1,2,2,1,1,2,1,13.466666666666669,2019-20,203524,Forward,MEM,20191029,21900054,-2,0,False
T. Daniels,2,7,0.286,5,1,5,0.2,0,0,0.0,0,3,3,1,1,0,0,1,0,0,20.066666666666663,2019-20,203584,Guard,LAL,20191029,21900054,7,0,False
