player_id,first,last,name,birthdate,school,country,last_affiliation,height,weight,season_exp,jersey,pos,rosterstatus,from_year,dleague_flag,draft_year,draft_round,draft_number,team_id,team_id2,team,team2
1713,Vince,Carter,V. Carter,19770126,North Carolina,USA,North Carolina/USA,6-6,220.0,22,15.0,Guard,Inactive,1998.0,N,1998,1.0,5.0,1610612737,0,ATL,
2037,Jamal,Crawford,J. Crawford,19800320,Michigan,USA,Michigan/USA,6-5,200.0,20,1.0,Guard,Inactive,2000.0,N,2000,1.0,8.0,1610612751,0,BKN,
2544,LeBron,James,L. James,19841230,St. Vincent-St. Mary HS (OH),USA,St. Vincent-St. Mary HS (OH)/USA,6-9,250.0,17,23.0,Forward,Active,2003.0,N,2003,1.0,1.0,1610612747,0,LAL,
2546,Carmelo,Anthony,C. Anthony,19840529,Syracuse,USA,Syracuse/USA,6-7,238.0,17,0.0,Forward,Active,2003.0,N,2003,1.0,3.0,1610612757,0,POR,
2594,Kyle,Korver,K. Korver,19810317,Creighton,USA,Creighton/USA,6-7,212.0,17,26.0,Guard,Inactive,2003.0,N,2003,2.0,51.0,1610612749,0,MIL,
2730,Dwight,Howard,D. Howard,19851208,SW Atlanta Christian Academy (GA),USA,SW Atlanta Christian Academy (GA)/USA,6-10,265.0,16,39.0,Center,Active,2004.0,N,2004,1.0,1.0,1610612747,0,LAL,
2738,Andre,Iguodala,A. Iguodala,19840128,Arizona,USA,Arizona/USA,6-6,215.0,16,28.0,Guard,Active,2004.0,N,2004,1.0,9.0,1610612748,0,MIA,
2747,JR,Smith,J. Smith,19850909,,USA,No College/USA,6-6,220.0,16,21.0,Guard,Inactive,2004.0,N,2004,1.0,18.0,1610612747,0,LAL,
2772,Trevor,Ariza,T. Ariza,19850630,UCLA,USA,UCLA/USA,6-8,215.0,16,8.0,Forward,Active,2004.0,N,2004,2.0,43.0,1610612758,0,SAC,
101107,Marvin,Williams,M. Williams,19860619,North Carolina,USA,North Carolina/USA,6-8,237.0,15,20.0,Forward,Inactive,2005.0,N,2005,1.0,2.0,1610612749,0,MIL,
101108,Chris,Paul,C. Paul,19850506,Wake Forest,USA,Wake Forest/USA,6-0,175.0,15,3.0,Guard,Active,2005.0,N,2005,1.0,4.0,1610612760,0,OKC,
101133,Ian,Mahinmi,I. Mahinmi,19861105,Pau Orthez,France,Pau Orthez/France,6-11,262.0,12,28.0,Center,Inactive,2007.0,Y,2005,1.0,28.0,1610612764,0,WAS,
101139,CJ,Miles,C. Miles,19870318,,USA,Skyline HS (TX)/USA,6-6,220.0,14,,Guard,Inactive,2005.0,Y,2005,2.0,34.0,1610612764,0,WAS,
101141,Ersan,Ilyasova,E. Ilyasova,19870515,FC Barcelona,Turkey,FC Barcelona/Turkey,6-9,235.0,12,77.0,Forward,Active,2006.0,Y,2005,2.0,36.0,1610612749,0,MIL,
101150,Lou,Williams,L. Williams,19861027,South Gwinnett HS (GA),USA,South Gwinnett HS (GA)/USA,6-1,175.0,15,6.0,Guard,Active,2005.0,Y,2005,2.0,45.0,1610612746,0,LAC,
200746,LaMarcus,Aldridge,L. Aldridge,19850719,University of Texas at Austin,USA,Texas-Austin/USA,6-11,250.0,14,,Center,Inactive,2006.0,N,2006,1.0,2.0,1610612759,0,SAS,
200752,Rudy,Gay,R. Gay,19860817,Connecticut,USA,Connecticut/USA,6-8,250.0,14,22.0,Forward,Active,2006.0,N,2006,1.0,8.0,1610612759,0,SAS,
200755,JJ,Redick,J. Redick,19840624,Duke,USA,Duke/USA,6-3,200.0,14,17.0,Guard,Active,2006.0,N,2006,1.0,11.0,1610612740,0,NOP,
200757,Thabo,Sefolosha,T. Sefolosha,19840502,,Switzerland,Angelico Biella/Switzerland,6-6,215.0,14,18.0,Forward,Inactive,2006.0,N,2006,1.0,13.0,1610612745,0,HOU,
200765,Rajon,Rondo,R. Rondo,19860222,Kentucky,USA,Kentucky/USA,6-1,180.0,14,4.0,Guard,Active,2006.0,N,2006,1.0,21.0,1610612747,0,LAL,
200768,Kyle,Lowry,K. Lowry,19860325,Villanova,USA,Villanova/USA,6-0,196.0,14,7.0,Guard,Active,2006.0,N,2006,1.0,24.0,1610612761,0,TOR,
200782,P.J.,Tucker,P. Tucker,19850505,Texas-Austin,USA,Texas-Austin/USA,6-5,245.0,9,17.0,Forward,Active,2006.0,Y,2006,2.0,35.0,1610612745,0,HOU,
200794,Paul,Millsap,P. Millsap,19850210,Louisiana Tech,USA,Louisiana Tech/USA,6-7,257.0,14,4.0,Forward,Active,2006.0,N,2006,2.0,47.0,1610612743,0,DEN,
200826,J.J.,Barea,J. Barea,19840626,Northeastern,Puerto Rico,Northeastern/Puerto Rico,5-10,180.0,14,5.0,Guard,Inactive,2006.0,Y,Undrafted,,,1610612742,0,DAL,
