player_id,game_id,pos,fgm,fga,pts,oreb,dreb,stl,blk
2730,21900002,Center,1,3,3,3,3,0,1
201580,21900002,Center,2,3,4,1,1,0,2
1627826,21900002,Center,4,4,8,1,0,0,0
201143,21900008,Center,5,13,16,1,1,1,0
202683,21900008,Center,5,8,12,3,3,0,0
203124,21900008,Center,2,2,5,0,1,0,0
203954,21900008,Center,5,14,15,4,9,0,3
1629057,21900008,Center,2,4,5,1,2,1,1
2730,21900054,Center,1,2,2,1,4,1,2
201580,21900054,Center,5,7,10,1,8,0,1
202685,21900054,Center,5,10,14,3,8,0,0
202334,21900063,Center,2,3,4,3,6,0,1
203497,21900063,Center,5,7,13,0,7,1,2
1627826,21900063,Center,4,4,8,2,6,0,2
201143,21900110,Center,3,14,7,1,3,2,1
203497,21900110,Center,4,8,14,4,12,3,1
203954,21900110,Center,5,16,27,4,12,0,2
1628396,21900110,Center,4,5,8,3,0,1,0
202696,21900133,Center,8,17,18,3,14,1,2
1628964,21900133,Center,2,7,5,2,1,1,4
202696,21900185,Center,11,14,30,7,10,0,1
1628418,21900185,Center,6,10,14,2,4,0,1
1628964,21900185,Center,1,4,2,2,4,0,1
202684,21900189,Center,3,6,9,3,2,0,1
1627790,21900189,Center,2,4,5,1,5,0,0
1629011,21900189,Center,3,7,7,4,4,0,4
203476,21900210,Center,0,3,1,1,7,1,3
203497,21900210,Center,5,8,12,3,12,0,5
1626157,21900210,Center,5,10,14,2,10,0,1
203083,21900241,Center,3,6,7,3,15,0,1
203920,21900241,Center,2,3,6,4,2,0,0
1628964,21900241,Center,3,8,6,4,8,2,3
201188,21900269,Center,1,6,6,1,6,0,0
203920,21900269,Center,2,4,4,1,11,1,3
1628964,21900269,Center,4,6,11,4,3,0,2
200746,21900276,Center,5,13,17,1,7,1,4
1627751,21900276,Center,3,4,6,2,4,0,4
1627826,21900276,Center,3,5,8,1,4,0,0
203476,21900286,Center,1,4,3,2,3,1,2
1626157,21900286,Center,7,20,21,3,9,0,0
203458,21900295,Center,5,7,11,0,4,2,0
1626161,21900295,Center,2,4,4,0,4,2,2
1627745,21900295,Center,6,8,16,4,4,1,0
203920,21900308,Center,3,4,7,4,5,1,0
1628964,21900308,Center,4,4,10,3,8,1,4
2730,21900329,Center,1,1,5,1,9,2,0
201580,21900329,Center,6,7,13,1,2,0,2
202355,21900329,Center,8,12,17,3,7,3,1
201143,21900332,Center,3,4,8,0,5,3,1
202684,21900332,Center,5,10,12,2,1,0,0
203124,21900332,Center,5,10,10,3,8,0,4
203658,21900332,Center,2,3,5,2,6,0,0
1627790,21900332,Center,2,3,5,1,3,1,0
1626167,21900343,Center,2,9,5,3,2,0,1
1627826,21900343,Center,5,7,13,3,5,0,1
