name,dist,value,made,desc,team,opp,x,y,player_id,event_id,zone,area,date,team,opp,running,jump,hook,layup,driving,dunk,alley,reverse,turnaround,fadeaway,bank,finger,putback,float,pullup,step,cutting,tip,game_id,date,period,min_left,sec_left
L. James,2,2,True,Layup Shot,LAC,LAL,-9,23,2544,7,Less Than 8 ft.,Center(C),20191022,LAC,LAL,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,1,11,47
L. Shamet,26,3,False,Pullup Jump shot,LAC,LAL,201,178,1629013,9,24+ ft.,Right Side Center(RC),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0021900002,20191022,1,11,40
D. Green,25,3,True,Jump Shot,LAC,LAL,125,221,201980,11,24+ ft.,Right Side Center(RC),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,1,11,23
P. Beverley,26,3,False,Jump Shot,LAC,LAL,117,239,201976,13,24+ ft.,Right Side Center(RC),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,1,11,0
A. Davis,18,2,False,Jump Shot,LAC,LAL,96,162,203076,15,16-24 ft.,Right Side Center(RC),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,1,10,47
K. Leonard,14,2,False,Step Back Jump shot,LAC,LAL,110,90,202695,18,8-16 ft.,Right Side(R),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0021900002,20191022,1,10,29
I. Zubac,0,2,True,Tip Layup Shot,LAC,LAL,0,-6,1627826,20,Less Than 8 ft.,Center(C),20191022,LAC,LAL,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0021900002,20191022,1,10,24
L. James,14,2,True,Turnaround Fadeaway shot,LAC,LAL,-144,41,2544,21,8-16 ft.,Left Side(L),20191022,LAC,LAL,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,0021900002,20191022,1,10,5
D. Green,23,3,False,Jump Shot,LAC,LAL,-234,12,201980,24,24+ ft.,Left Side(L),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,1,9,52
J. McGee,0,2,True,Dunk Shot,LAC,LAL,-1,7,201580,27,Less Than 8 ft.,Center(C),20191022,LAC,LAL,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,1,9,30
K. Leonard,8,2,False,Turnaround Fadeaway shot,LAC,LAL,-89,11,202695,29,8-16 ft.,Left Side(L),20191022,LAC,LAL,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,0021900002,20191022,1,9,9
A. Davis,2,2,True,Driving Layup Shot,LAC,LAL,-19,16,203076,47,Less Than 8 ft.,Center(C),20191022,LAC,LAL,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,1,8,24
P. Patterson,25,3,False,Jump Shot,LAC,LAL,215,129,202335,48,24+ ft.,Right Side Center(RC),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,1,8,13
