name,dist,value,made,desc,team,opp,x,y,player_id,game_id,event_id,shot_id,running,jump,hook,layup,driving,dunk,alley,reverse,turnaround,fadeaway,bank,finger,putback,float,pullup,step,cutting,tip,zone,area,date,period,min_left,sec_left
L. James,2,2,True,Layup Shot,LAC,LAL,-9,23,2544,0021900002,7,0021900002-007,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Less Than 8 ft.,Center(C),20191022,1,11,47
L. Shamet,26,3,False,Pullup Jump shot,LAC,LAL,201,178,1629013,0021900002,9,0021900002-009,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,24+ ft.,Right Side Center(RC),20191022,1,11,40
D. Green,25,3,True,Jump Shot,LAC,LAL,125,221,201980,0021900002,11,0021900002-011,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24+ ft.,Right Side Center(RC),20191022,1,11,23
P. Beverley,26,3,False,Jump Shot,LAC,LAL,117,239,201976,0021900002,13,0021900002-013,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24+ ft.,Right Side Center(RC),20191022,1,11,0
A. Davis,18,2,False,Jump Shot,LAC,LAL,96,162,203076,0021900002,15,0021900002-015,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,16-24 ft.,Right Side Center(RC),20191022,1,10,47
K. Leonard,14,2,False,Step Back Jump shot,LAC,LAL,110,90,202695,0021900002,18,0021900002-018,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8-16 ft.,Right Side(R),20191022,1,10,29
I. Zubac,0,2,True,Tip Layup Shot,LAC,LAL,0,-6,1627826,0021900002,20,0021900002-020,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Less Than 8 ft.,Center(C),20191022,1,10,24
L. James,14,2,True,Turnaround Fadeaway shot,LAC,LAL,-144,41,2544,0021900002,21,0021900002-021,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,8-16 ft.,Left Side(L),20191022,1,10,5
D. Green,23,3,False,Jump Shot,LAC,LAL,-234,12,201980,0021900002,24,0021900002-024,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24+ ft.,Left Side(L),20191022,1,9,52
J. McGee,0,2,True,Dunk Shot,LAC,LAL,-1,7,201580,0021900002,27,0021900002-027,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Less Than 8 ft.,Center(C),20191022,1,9,30
K. Leonard,8,2,False,Turnaround Fadeaway shot,LAC,LAL,-89,11,202695,0021900002,29,0021900002-029,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,8-16 ft.,Left Side(L),20191022,1,9,9
A. Davis,2,2,True,Driving Layup Shot,LAC,LAL,-19,16,203076,0021900002,47,0021900002-047,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Less Than 8 ft.,Center(C),20191022,1,8,24
P. Patterson,25,3,False,Jump Shot,LAC,LAL,215,129,202335,0021900002,48,0021900002-048,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24+ ft.,Right Side Center(RC),20191022,1,8,13
A. Davis,11,2,False,Turnaround Fadeaway shot,LAC,LAL,-56,100,203076,0021900002,52,0021900002-052,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,8-16 ft.,Center(C),20191022,1,8,3
M. Harrell,2,2,True,Cutting Dunk Shot,LAC,LAL,9,20,1626149,0021900002,54,0021900002-054,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,Less Than 8 ft.,Center(C),20191022,1,7,55
M. Harrell,0,2,True,Cutting Dunk Shot,LAC,LAL,7,6,1626149,0021900002,57,0021900002-057,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,Less Than 8 ft.,Center(C),20191022,1,7,18
L. James,25,3,False,Jump Shot,LAC,LAL,-66,251,2544,0021900002,59,0021900002-059,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24+ ft.,Center(C),20191022,1,6,58
A. Davis,10,2,True,Turnaround Hook Shot,LAC,LAL,-51,94,203076,0021900002,73,0021900002-073,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,8-16 ft.,Center(C),20191022,1,6,32
M. Harrell,1,2,False,Cutting Layup Shot,LAC,LAL,-18,6,1626149,0021900002,74,0021900002-074,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Less Than 8 ft.,Center(C),20191022,1,6,16
A. Davis,25,3,False,Jump Shot,LAC,LAL,171,194,203076,0021900002,82,0021900002-082,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24+ ft.,Right Side Center(RC),20191022,1,5,59
L. Williams,18,2,False,Pullup Jump shot,LAC,LAL,-100,159,101150,0021900002,90,0021900002-090,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,16-24 ft.,Left Side Center(LC),20191022,1,5,24
A. Davis,17,2,False,Turnaround Fadeaway shot,LAC,LAL,95,149,203076,0021900002,92,0021900002-092,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,16-24 ft.,Right Side Center(RC),20191022,1,5,11
M. Harkless,2,2,False,Cutting Layup Shot,LAC,LAL,-22,8,203090,0021900002,119,0021900002-119,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Less Than 8 ft.,Center(C),20191022,1,4,34
J. Green,25,3,False,Jump Shot,LAC,LAL,163,201,203210,0021900002,122,0021900002-122,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24+ ft.,Right Side Center(RC),20191022,1,4,29
M. Harkless,2,2,False,Layup Shot,LAC,LAL,-6,27,203090,0021900002,125,0021900002-125,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Less Than 8 ft.,Center(C),20191022,1,4,3
M. Harrell,0,2,False,Putback Dunk Shot,LAC,LAL,0,-6,1626149,0021900002,127,0021900002-127,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,Less Than 8 ft.,Center(C),20191022,1,3,55
L. James,10,2,False,Pullup Jump shot,LAC,LAL,5,109,2544,0021900002,129,0021900002-129,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,8-16 ft.,Center(C),20191022,1,3,51
J. Green,27,3,True,Jump Shot,LAC,LAL,214,168,203210,0021900002,144,0021900002-144,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24+ ft.,Right Side Center(RC),20191022,1,3,10
T. Daniels,23,3,True,Jump Shot,LAC,LAL,234,10,203584,0021900002,146,0021900002-146,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24+ ft.,Right Side(R),20191022,1,2,55
P. Beverley,25,3,False,Jump Shot,LAC,LAL,-101,236,201976,0021900002,149,0021900002-149,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24+ ft.,Left Side Center(LC),20191022,1,2,36
L. Williams,16,2,True,Pullup Jump shot,LAC,LAL,5,164,101150,0021900002,151,0021900002-151,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,16-24 ft.,Center(C),20191022,1,2,26
Q. Cook,1,2,True,Driving Layup Shot,LAC,LAL,-13,10,1626188,0021900002,152,0021900002-152,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Less Than 8 ft.,Center(C),20191022,1,2,10
A. Davis,1,2,True,Driving Layup Shot,LAC,LAL,-13,10,203076,0021900002,157,0021900002-157,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Less Than 8 ft.,Center(C),20191022,1,1,49
M. Harrell,10,2,False,Jump Shot,LAC,LAL,85,53,1626149,0021900002,158,0021900002-158,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8-16 ft.,Right Side(R),20191022,1,1,35
K. Leonard,8,2,True,Turnaround Fadeaway shot,LAC,LAL,22,83,202695,0021900002,168,0021900002-168,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,8-16 ft.,Center(C),20191022,1,0,59
Q. Cook,18,2,False,Step Back Jump shot,LAC,LAL,107,146,1626188,0021900002,169,0021900002-169,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,16-24 ft.,Right Side Center(RC),20191022,1,0,44
J. Green,24,3,True,Jump Shot,LAC,LAL,-216,109,203210,0021900002,171,0021900002-171,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24+ ft.,Left Side Center(LC),20191022,1,0,20
P. Beverley,25,3,False,Jump Shot,LAC,LAL,-130,225,201976,0021900002,178,0021900002-178,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24+ ft.,Left Side Center(LC),20191022,2,11,43
K. Leonard,15,2,True,Pullup Jump shot,LAC,LAL,-49,150,202695,0021900002,182,0021900002-182,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,8-16 ft.,Center(C),20191022,2,11,25
K. Caldwell-Pope,26,3,False,Jump Shot,LAC,LAL,-164,214,203484,0021900002,183,0021900002-183,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24+ ft.,Left Side Center(LC),20191022,2,11,13
K. Leonard,23,3,True,Jump Shot,LAC,LAL,-232,8,202695,0021900002,185,0021900002-185,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24+ ft.,Left Side(L),20191022,2,11,2
L. James,29,3,True,Jump Shot,LAC,LAL,220,190,2544,0021900002,187,0021900002-187,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24+ ft.,Right Side Center(RC),20191022,2,10,48
J. Dudley,24,3,True,Jump Shot,LAC,LAL,242,18,201162,0021900002,190,0021900002-190,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24+ ft.,Right Side(R),20191022,2,10,19
T. Daniels,26,3,False,Running Pull-Up Jump Shot,LAC,LAL,-110,241,203584,0021900002,194,0021900002-194,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24+ ft.,Left Side Center(LC),20191022,2,10,1
M. Harkless,1,2,True,Running Dunk Shot,LAC,LAL,12,14,203090,0021900002,202,0021900002-202,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Less Than 8 ft.,Center(C),20191022,2,9,50
L. James,7,2,False,Fadeaway Jump Shot,LAC,LAL,-77,17,2544,0021900002,203,0021900002-203,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Less Than 8 ft.,Center(C),20191022,2,9,33
K. Leonard,16,2,True,Fadeaway Jump Shot,LAC,LAL,-65,153,202695,0021900002,205,0021900002-205,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,16-24 ft.,Left Side Center(LC),20191022,2,9,20
L. James,7,2,True,Turnaround Hook Shot,LAC,LAL,-16,71,2544,0021900002,206,0021900002-206,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Less Than 8 ft.,Center(C),20191022,2,9,2
M. Harkless,23,3,True,Jump Shot,LAC,LAL,-218,90,203090,0021900002,212,0021900002-212,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,16-24 ft.,Left Side(L),20191022,2,8,42
L. James,2,2,True,Driving Layup Shot,LAC,LAL,-13,17,2544,0021900002,214,0021900002-214,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Less Than 8 ft.,Center(C),20191022,2,8,32
K. Leonard,17,2,True,Running Pull-Up Jump Shot,LAC,LAL,176,30,202695,0021900002,215,0021900002-215,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,16-24 ft.,Right Side(R),20191022,2,8,21
T. Daniels,3,2,True,Floating Jump shot,LAC,LAL,-1,32,203584,0021900002,216,0021900002-216,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Less Than 8 ft.,Center(C),20191022,2,7,59
K. Leonard,19,2,True,Pullup Jump shot,LAC,LAL,192,4,202695,0021900002,224,0021900002-224,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,16-24 ft.,Right Side(R),20191022,2,7,34
T. Daniels,25,3,False,Jump Shot,LAC,LAL,-5,252,203584,0021900002,225,0021900002-225,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24+ ft.,Center(C),20191022,2,7,17
M. Harkless,2,2,True,Cutting Dunk Shot,LAC,LAL,-2,25,203090,0021900002,227,0021900002-227,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,Less Than 8 ft.,Center(C),20191022,2,7,8
D. Green,16,2,False,Pullup Jump shot,LAC,LAL,129,99,201980,0021900002,239,0021900002-239,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,16-24 ft.,Right Side Center(RC),20191022,2,6,39
K. Leonard,0,2,True,Cutting Dunk Shot,LAC,LAL,-8,-2,202695,0021900002,245,0021900002-245,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,Less Than 8 ft.,Center(C),20191022,2,6,29
L. Shamet,25,3,True,Running Pull-Up Jump Shot,LAC,LAL,206,143,1629013,0021900002,249,0021900002-249,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24+ ft.,Right Side Center(RC),20191022,2,6,8
L. Williams,14,2,True,Pullup Jump shot,LAC,LAL,56,137,101150,0021900002,258,0021900002-258,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,8-16 ft.,Center(C),20191022,2,5,30
A. Bradley,23,3,True,Jump Shot,LAC,LAL,-229,27,202340,0021900002,259,0021900002-259,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24+ ft.,Left Side(L),20191022,2,5,12
P. Beverley,2,2,True,Driving Layup Shot,LAC,LAL,11,20,201976,0021900002,261,0021900002-261,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Less Than 8 ft.,Center(C),20191022,2,5,2
A. Bradley,16,2,True,Pullup Jump shot,LAC,LAL,11,162,202340,0021900002,262,0021900002-262,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,16-24 ft.,Center(C),20191022,2,4,48
P. Beverley,26,3,False,Jump Shot,LAC,LAL,136,232,201976,0021900002,263,0021900002-263,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24+ ft.,Right Side Center(RC),20191022,2,4,38
A. Davis,4,2,False,Layup Shot,LAC,LAL,-22,37,203076,0021900002,265,0021900002-265,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Less Than 8 ft.,Center(C),20191022,2,4,24
A. Bradley,13,2,False,Pullup Jump shot,LAC,LAL,51,128,202340,0021900002,271,0021900002-271,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,8-16 ft.,Center(C),20191022,2,4,13
P. Beverley,2,2,False,Driving Layup Shot,LAC,LAL,23,15,201976,0021900002,273,0021900002-273,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Less Than 8 ft.,Center(C),20191022,2,4,1
Q. Cook,24,3,False,Jump Shot,LAC,LAL,-240,25,1626188,0021900002,276,0021900002-276,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24+ ft.,Left Side(L),20191022,2,3,55
L. Shamet,11,2,False,Pullup Jump shot,LAC,LAL,17,116,1629013,0021900002,286,0021900002-286,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,8-16 ft.,Center(C),20191022,2,3,33
L. James,1,2,False,Running Layup Shot,LAC,LAL,-11,5,2544,0021900002,289,0021900002-289,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Less Than 8 ft.,Center(C),20191022,2,3,23
K. Leonard,24,3,False,Jump Shot,LAC,LAL,-223,101,202695,0021900002,293,0021900002-293,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24+ ft.,Left Side Center(LC),20191022,2,3,13
A. Davis,18,2,True,Jump Shot,LAC,LAL,-139,126,203076,0021900002,305,0021900002-305,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,16-24 ft.,Left Side Center(LC),20191022,2,2,33
L. Williams,16,2,True,Driving Floating Jump Shot,LAC,LAL,34,166,101150,0021900002,306,0021900002-306,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,16-24 ft.,Center(C),20191022,2,2,21
A. Davis,2,2,True,Layup Shot,LAC,LAL,-7,25,203076,0021900002,307,0021900002-307,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Less Than 8 ft.,Center(C),20191022,2,2,8
K. Leonard,17,2,True,Fadeaway Jump Shot,LAC,LAL,177,-15,202695,0021900002,314,0021900002-314,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,16-24 ft.,Right Side(R),20191022,2,1,54
L. James,33,3,False,Step Back Jump shot,LAC,LAL,-188,283,2544,0021900002,315,0021900002-315,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,24+ ft.,Left Side Center(LC),20191022,2,1,33
