team,date,matchup,wl,min,pts,team_id,game_id,season,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_minus,bubble,sample
HOU,2020-08-14,HOU vs. PHI,L,240,96,1610612745,0021901315,2019-20,35,80,0.438,12,48,0.25,14,16,0.875,1,26,27,25,10,9,17,18,-38.0,True,False
HOU,2020-08-12,HOU vs. IND,L,239,104,1610612745,0021901304,2019-20,32,86,0.372,16,57,0.281,24,28,0.857,6,43,49,20,8,6,20,20,-4.0,True,True
HOU,2020-08-11,HOU @ SAS,L,240,105,1610612745,0021901298,2019-20,36,89,0.404,14,48,0.292,19,21,0.905,4,33,37,18,14,3,18,19,-18.0,True,True
HOU,2020-08-09,HOU @ SAC,W,240,129,1610612745,0021901290,2019-20,43,91,0.473,18,57,0.316,25,30,0.833,8,40,48,21,9,3,15,18,17.0,True,False
HOU,2020-08-06,HOU vs. LAL,W,238,113,1610612745,0021901273,2019-20,36,84,0.429,21,57,0.368,20,23,0.87,4,30,34,26,11,5,19,28,16.0,True,True
HOU,2020-08-04,HOU @ POR,L,241,102,1610612745,0021901261,2019-20,34,87,0.391,19,53,0.358,15,24,0.625,5,34,39,24,7,3,10,26,-8.0,True,True
HOU,2020-08-02,HOU vs. MIL,W,239,120,1610612745,0021901248,2019-20,36,91,0.396,21,61,0.344,27,31,0.871,6,30,36,22,15,3,9,24,4.0,True,False
HOU,2020-07-31,HOU @ DAL,W,267,153,1610612745,0021901238,2019-20,52,101,0.515,19,48,0.396,30,39,0.769,7,36,43,26,12,10,9,31,4.0,True,False
HOU,2020-03-10,HOU vs. MIN,W,241,117,1610612745,0021900963,2019-20,41,80,0.513,15,38,0.395,20,26,0.769,5,28,33,24,9,5,16,20,6.0,False,False
HOU,2020-03-08,HOU vs. ORL,L,241,106,1610612745,0021900953,2019-20,39,88,0.443,9,32,0.281,19,25,0.76,11,27,38,21,10,7,18,23,-20.0,False,False
HOU,2020-03-07,HOU @ CHA,L,239,99,1610612745,0021900940,2019-20,35,76,0.461,15,45,0.333,14,20,0.7,13,29,42,22,9,3,20,25,-9.0,False,False
HOU,2020-03-05,HOU vs. LAC,L,240,105,1610612745,0021900927,2019-20,35,97,0.361,7,42,0.167,28,36,0.778,15,36,51,19,6,5,10,25,-15.0,False,False
HOU,2020-03-02,HOU @ NYK,L,240,123,1610612745,0021900903,2019-20,39,94,0.415,20,56,0.357,25,27,0.926,8,26,34,25,11,5,12,20,-2.0,False,False
HOU,2020-02-29,HOU @ BOS,W,265,111,1610612745,0021900892,2019-20,41,98,0.418,15,55,0.273,14,18,0.778,12,41,53,17,10,8,16,20,1.0,False,False
HOU,2020-02-26,HOU vs. MEM,W,240,140,1610612745,0021900870,2019-20,52,93,0.559,23,50,0.46,13,15,0.867,9,35,44,22,8,7,18,25,28.0,False,False
HOU,2020-02-24,HOU vs. NYK,W,239,123,1610612745,0021900853,2019-20,43,86,0.5,16,48,0.333,21,31,0.677,5,33,38,20,11,7,13,22,11.0,False,False
HOU,2020-02-22,HOU @ UTA,W,240,120,1610612745,0021900841,2019-20,45,92,0.489,20,48,0.417,10,14,0.714,6,36,42,20,9,5,10,25,10.0,False,False
HOU,2020-02-20,HOU @ GSW,W,239,135,1610612745,0021900825,2019-20,45,85,0.529,25,49,0.51,20,22,0.909,8,28,36,31,14,7,15,15,30.0,False,False
HOU,2020-02-11,HOU vs. BOS,W,241,116,1610612745,0021900806,2019-20,33,77,0.429,13,45,0.289,37,42,0.881,5,40,45,17,9,6,14,21,11.0,False,False
HOU,2020-02-09,HOU vs. UTA,L,240,113,1610612745,0021900790,2019-20,44,95,0.463,15,42,0.357,10,14,0.714,7,29,36,20,10,5,6,19,-1.0,False,False
